Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5316070914268494,0.5415378212928772,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.7163172960281372,0.4101109802722931,1.5294698476791382,0.3441019356250763,0.8329942128578464,0.1670057871421536,0.5316070611535451
2,0.6041101813316345,0.5185211896896362,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.6691327095031738,0.7473078370094299,1.1922729015350342,0.3912864923477173,0.8100937459735273,0.18990625402647263,0.6041101456300936
3,0.6846691370010376,0.5208228230476379,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.7494450807571411,0.9892314076423645,0.9503493905067444,0.3109740912914276,0.8490724142397481,0.15092758576025192,0.6846691272010589
4,0.750041127204895,0.5293821692466736,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.806329607963562,1.1938347816467285,0.7457460165023804,0.2540895938873291,0.87668063195146,0.12331936804854002,0.7500410974025726
5,0.8128647804260254,0.5245630145072937,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.8457049131393433,1.4057542085647583,0.5338265299797058,0.21471434831619263,0.8957909429731731,0.10420905702682697,0.8128647804260254
6,0.8573777079582214,0.5162914395332336,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.8751336336135864,1.5543773174285889,0.38520345091819763,0.18528565764427185,0.9100738095248772,0.08992619047512287,0.8573777249846202
7,0.8817098140716553,0.518808901309967,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9037402868270874,1.6230990886688232,0.31648170948028564,0.15667900443077087,0.9239577084647075,0.07604229153529253,0.8817098241662273
8,0.8968146443367004,0.5120477676391602,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9256885051727295,1.6615700721740723,0.27801069617271423,0.13473078608512878,0.9346100152251645,0.06538998477483554,0.8968146309731211
9,0.9065967798233032,0.5315399765968323,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9412248134613037,1.6851623058319092,0.25441840291023254,0.1191944107413292,0.9421504083532046,0.05784959164679535,0.9065967950213163
10,0.9125770926475525,0.5142055749893188,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9566789865493774,1.693629264831543,0.24595150351524353,0.10374023765325546,0.9496509077207809,0.05034909227921913,0.9125770645450374
11,0.9190300107002258,0.5147809982299805,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9655569791793823,1.710563063621521,0.22901767492294312,0.09486231207847595,0.9539597049586136,0.04604029504138635,0.9190300038529187
12,0.922420859336853,0.5172984004020691,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9718865156173706,1.7177969217300415,0.2217838019132614,0.08853267878293991,0.9570317151851677,0.04296828481483232,0.9224208782364235
13,0.9278051853179932,0.5268647074699402,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9801890850067139,1.7310316562652588,0.2085491120815277,0.08023016899824142,0.9610612408895455,0.03893875911045455,0.9278051801334777
14,0.9294081330299377,0.5280155539512634,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9850389957427979,1.7325935363769531,0.20698726177215576,0.07538019120693207,0.9634151187853546,0.03658488121464537,0.9294081364922528
15,0.9301274418830872,0.530389130115509,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9881627559661865,1.7323468923568726,0.20723386108875275,0.07225647568702698,0.9649311778025627,0.03506882219743733,0.9301274155457594
16,0.9338265657424927,0.5345608592033386,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9921907186508179,1.7431155443191528,0.19646526873111725,0.06822852790355682,0.9668860946539618,0.033113905346038155,0.9338265518273927
17,0.9350801706314087,0.5227648615837097,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.992601752281189,1.7477188110351562,0.19186189770698547,0.06781750917434692,0.9670855779486167,0.03291442205138327,0.9350801477959763
18,0.9385737776756287,0.5226929187774658,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9985203742980957,1.755774736404419,0.18380600214004517,0.061898890882730484,0.9699581090466565,0.030041890953343482,0.9385737768015138
19,0.9394574761390686,0.53204345703125,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.00016450881958,1.7576653957366943,0.18191532790660858,0.06025483086705208,0.9707560350912761,0.02924396490872397,0.9394574612651236
20,0.940464437007904,0.5206789970397949,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,1.9990135431289673,1.762844204902649,0.17673653364181519,0.06140567362308502,0.9701974854807062,0.02980251451929381,0.9404644475184133
21,0.9408960342407227,0.5213982462882996,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.000739812850952,1.762844204902649,0.17673653364181519,0.05967940762639046,0.9710353082356878,0.028964691764312107,0.9408960140774549
22,0.943999171257019,0.5290225148200989,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.000986337661743,1.7750102281570435,0.16457049548625946,0.059432800859212875,0.9711549947541859,0.028845005245814164,0.9439991739839031
23,0.9432387948036194,0.5272243618965149,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.004932165145874,1.7680230140686035,0.17155775427818298,0.055487051606178284,0.9730700183947782,0.026929981605221802,0.9432387983174577
24,0.9440402984619141,0.5211105346679688,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.004767894744873,1.7713932991027832,0.16818742454051971,0.0556514598429203,0.9729902266162443,0.027009773383755615,0.9440402799985875
25,0.9467529654502869,0.5260015726089478,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.005260944366455,1.7817509174346924,0.15782983601093292,0.05515824258327484,0.9732296015623249,0.026770398437675095,0.9467529795580056
26,0.9471023678779602,0.5219736695289612,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.005918502807617,1.7824907302856445,0.15709000825881958,0.05450061708688736,0.9735487714316697,0.026451228568330237,0.9471023417915115
27,0.947575032711029,0.5267927646636963,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.0078914165496826,1.782408595085144,0.15717221796512604,0.05252774432301521,0.9745062823523895,0.025493717647610548,0.9475750090861926
28,0.9482120871543884,0.5333381295204163,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.009206771850586,1.7836415767669678,0.15593917667865753,0.05121249333024025,0.9751446250791361,0.02485537492086386,0.9482120827389319
29,0.9490752220153809,0.5201035737991333,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,450,40,19,additional cnn + global average,200,0.0001,0.2,2.009124517440796,1.7871763706207275,0.15240444242954254,0.05129469931125641,0.975104726798212,0.02489527320178801,0.9490752149442194
