Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5069695115089417,0.508979320526123,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.361510157585144,0.6663246154785156,1.3273046016693115,0.6447750926017761,0.6786224229372647,0.3213775770627353,0.5069695338797736
2,0.51462322473526,0.5219245553016663,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.5553703308105469,0.5030785202980042,1.4905507564544678,0.45091500878334045,0.7752488143712326,0.22475118562876742,0.5146231978793585
3,0.5230678915977478,0.5225232243537903,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.6276723146438599,0.46455445885658264,1.529074788093567,0.3786129653453827,0.8112865756820921,0.18871342431790794,0.5230678704280585
4,0.5291074514389038,0.5266761183738708,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.6652984619140625,0.45108601450920105,1.5425431728363037,0.34098681807518005,0.8300407118189053,0.16995928818109476,0.5291074330980554
5,0.5322715044021606,0.5265638828277588,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7318283319473267,0.3972122371196747,1.59641695022583,0.2744569778442383,0.8632014217993991,0.13679857820060093,0.5322715199514534
6,0.5374986529350281,0.5300059914588928,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7193859815597534,0.43056267499923706,1.5630664825439453,0.28689926862716675,0.8569997618232815,0.14300023817671845,0.537498665572461
7,0.5454195737838745,0.5412301421165466,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7011288404464722,0.48050281405448914,1.5131263732910156,0.30515649914741516,0.8478997512840397,0.1521002487159603,0.5454195682951948
8,0.5494174361228943,0.5298188924789429,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7311441898345947,0.46647852659225464,1.5271506309509277,0.2751410901546478,0.8628604352038495,0.13713956479615058,0.549417431484504
9,0.5594334602355957,0.5273870229721069,8,3,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7338378429412842,0.503848135471344,1.489781141281128,0.272447407245636,0.8642030552633266,0.1357969447366733,0.5594334487254243
