Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param
1,0.490623414516449,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
2,0.5339584350585938,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
3,0.5546122789382935,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
4,0.5652559399604797,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
5,0.5601875185966492,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
6,0.554485559463501,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
7,0.5663963556289673,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
8,0.5851495265960693,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
9,0.5822351574897766,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
10,0.5905980467796326,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
11,0.5892042517662048,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
12,0.590724766254425,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
13,0.594906210899353,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
14,0.5743791460990906,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
15,0.5836290121078491,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
16,0.5832488536834717,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
17,0.5918651819229126,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
18,0.586796760559082,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
19,0.591231644153595,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
20,0.595159649848938,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
21,0.595159649848938,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
22,0.5966801643371582,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
23,0.595413088798523,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
24,0.5947795510292053,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
25,0.5937658548355103,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
26,0.5950329303741455,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
27,0.5924987196922302,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
28,0.5938925743103027,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
29,0.5969336032867432,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
30,0.5957931876182556,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
31,0.594906210899353,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,11,additional cnn + global average
