Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param
1,0.4950582981109619,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
2,0.5211606621742249,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
3,0.5356056690216064,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
4,0.5372529029846191,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
5,0.5345919728279114,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
6,0.5562595129013062,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
7,0.5454891324043274,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
8,0.5612012147903442,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
9,0.5661429166793823,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
10,0.5622149109840393,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
11,0.5651292204856873,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
12,0.5699442625045776,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
13,0.5757729411125183,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
14,0.5741257071495056,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
15,0.5789406895637512,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
16,0.586796760559082,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
17,0.5832488536834717,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
18,0.585783064365387,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
19,0.5936391353607178,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
20,0.5898377895355225,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
21,0.5918651819229126,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
22,0.5903446674346924,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
23,0.5940192341804504,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
24,0.5940192341804504,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
25,0.5950329303741455,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
26,0.5946528315544128,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
27,0.5945261120796204,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
28,0.5963000655174255,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
29,0.594906210899353,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
30,0.5960466265678406,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
31,0.5961733460426331,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,7,additional cnn + global average
