Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
1,0.6497835516929626,0.6712121367454529,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
2,0.6779220700263977,0.6727272868156433,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
3,0.7365800738334656,0.6068181991577148,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
4,0.7859307527542114,0.5522727370262146,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
5,0.8251082301139832,0.5287878513336182,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
6,0.8452380895614624,0.5583333373069763,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
7,0.861255407333374,0.5196969509124756,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
8,0.8670995831489563,0.5651515126228333,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
9,0.9012987017631531,0.5560606122016907,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average,30,0.001
