Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
1,0.5410690903663635,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
2,0.5736636519432068,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
3,0.6219035387039185,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
4,0.6088657379150391,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
5,0.6140808463096619,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
6,0.6388526558876038,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
7,0.5997392535209656,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
8,0.6362451314926147,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
9,0.6870925426483154,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
10,0.6662320494651794,0.7808219194412231,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
11,0.6258148550987244,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
12,0.6466753482818604,0.7808219194412231,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
13,0.6805736422538757,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
14,0.6910039186477661,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
15,0.6727509498596191,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
16,0.6753585338592529,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
17,0.6779661178588867,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
18,0.6766623258590698,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
19,0.7066493034362793,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
20,0.7288135886192322,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
21,0.7222946286201477,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
22,0.7235984206199646,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
23,0.7509778141975403,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
24,0.7457627058029175,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
25,0.75749671459198,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
26,0.7627118825912476,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
27,0.8187744617462158,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
28,0.8005214929580688,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
29,0.7913950681686401,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
30,0.7848761677742004,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
31,0.8318122625350952,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
32,0.8174706697463989,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
33,0.8265971541404724,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
34,0.8696219325065613,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
35,0.8513689637184143,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
